[Header]
TITLE, default name
FILEOPENTIME,13808301.33,3/7/2025,6:49 PM
BYAPP, Resistivity, 2.1, 1.0
INFO, APPNAME, PPMS MultiVu Application, 1.5.11
INFO, , Sample1 Name
INFO, 1, Sample1 Cross Section
INFO, 1, Sample1 Length
INFO, Ohm, Sample1 Units
INFO, , Sample2 Name
INFO, 1, Sample2 Cross Section
INFO, 1, Sample2 Length
INFO, Ohm, Sample2 Units
INFO, , Sample3 Name
INFO, 1, Sample3 Cross Section
INFO, 1, Sample3 Length
INFO, Ohm, Sample3 Units
INFO, , Sample4 Name
INFO, 1, Sample4 Cross Section
INFO, 1, Sample4 Length
INFO, Ohm, Sample4 Units
FIELDGROUP, Resistivity,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
STARTUPGROUP, Resistivity
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 11, LINEAR, AUTO
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON, MARKERS_AND_LINES, ALL_LINES
DATATYPE, TIME, 2
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (sec),Status (code),Temperature (K),Magnetic Field (Oe),Sample Position (deg),Bridge 1 Resistivity (Ohm),Bridge 1 Excitation (uA),Bridge 2 Resistivity (Ohm),Bridge 2 Excitation (uA),Bridge 3 Resistivity (Ohm),Bridge 3 Excitation (uA),Bridge 4 Resistivity (Ohm),Bridge 4 Excitation (uA),Bridge 1 Std. Dev. (Ohm),Bridge 2 Std. Dev. (Ohm),Bridge 3 Std. Dev. (Ohm),Bridge 4 Std. Dev. (Ohm),Number of Readings,Bridge 1 Resistance (Ohms),Bridge 2 Resistance (Ohms),Bridge 3 Resistance (Ohms),Bridge 4 Resistance (Ohms),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,13810557.36,4370,7.01834988594055,0.13400000333786,0,-0.000435380364651792,9.98999977111816,0.000840207715518773,9.98999977111816,0.00149709741410334,9.98999977111816,,,0.00245645522471591,0.00256877041569357,0.00235034862525998,,25,-0.000435380364651792,0.000840207715518773,0.00149709741410334,
,13810574.53,4370,7.08150005340576,0.13400000333786,0,0.000908952007303014,9.98999977111816,-7.63825344620272e-005,9.98999977111816,-0.000152765063685365,9.98999977111816,,,0.00297121134682559,0.00263934496273431,0.00330260575567662,,25,0.000908952007303014,-7.63825344620272e-005,-0.000152765063685365,
,13810591.95,4370,7.14074993133545,0.13400000333786,0,-0.000198570177308284,9.98999977111816,-3.80522169871256e-005,9.98999977111816,-2.26773577742279e-005,9.98999977111816,,,0.0033399348027692,0.00293165792996134,0.00308214780881245,,25,-0.000198570177308284,-3.80522169871256e-005,-2.26773577742279e-005,
,13810611.39,4370,7.20344996452332,0.13400000333786,0,0.000267428164370358,9.98999977111816,-0.000848129341611639,9.98999977111816,-4.58448269637302e-005,9.98999977111816,,,0.00304292114232239,0.00336068621005284,0.00311698020549594,,25,0.000267428164370358,-0.000848129341611639,-4.58448269637302e-005,
,13810629.59,4370,7.26409983634949,0.13400000333786,0,-0.000297991386032663,9.98999977111816,-0.000435525866923854,9.98999977111816,-0.000985663845785893,9.98999977111816,,,0.0024319374762644,0.00311568752800377,0.00329161756365785,,25,-0.000297991386032663,-0.000435525866923854,-0.000985663845785893,
,13810646.75,4370,7.32079982757568,0.13400000333786,0,-0.00058070115162991,9.98999977111816,0.000840488537796773,9.98999977111816,-0.000511933972593397,9.98999977111816,,,0.00339370454231934,0.00358059561057583,0.00372708422806548,,25,-0.00058070115162991,0.000840488537796773,-0.000511933972593397,
,13810664.63,4370,7.38205003738403,0.13400000333786,0,-0.000274966559372842,9.98999977111816,-0.000206224875873886,9.98999977111816,-0.000290242463233881,9.98999977111816,,,0.00269181470525993,0.00329979312873543,0.0030809110363206,,25,-0.000274966559372842,-0.000206224875873886,-0.000290242463233881,
,13810682.33,4370,7.44144988059998,0.13400000333786,0,0.000229138837894425,9.98999977111816,0.00063395066652447,9.98999977111816,-0.00152759197924752,9.98999977111816,,,0.00353951667640235,0.00269595108726349,0.00250601916778464,,25,0.000229138837894425,0.00063395066652447,-0.00152759197924752,
,13810699.91,4370,7.49985003471375,0.13400000333786,0,-0.000557571024401113,9.98999977111816,-0.000458277611178346,9.98999977111816,-0.000687416393193416,9.98999977111816,,,0.0027331305858602,0.00317733625219759,0.00278968581886507,,25,-0.000557571024401113,-0.000458277611178346,-0.000687416393193416,
,13810718.61,4370,7.56190013885498,0.13400000333786,0,0.000656714119249955,9.98999977111816,0.000465808835579082,9.98999977111816,0.000656714093638584,9.98999977111816,,,0.003124358182366,0.00437204911747207,0.00305833805871948,,25,0.000656714119249955,0.000465808835579082,0.000656714093638584,
,13810736.77,4370,7.62209987640381,0.13400000333786,0,0.00038944676052779,9.98999977111816,0.000259631138760597,9.98999977111816,0.000381810554536059,9.98999977111816,,,0.00394263701396531,0.00248727215619398,0.00357599760878444,,25,0.00038944676052779,0.000259631138760597,0.000381810554536059,
