[Header]
TITLE, default name
FILEOPENTIME,13799082.11,3/7/2025,4:16 PM
BYAPP, Resistivity, 2.1, 1.0
INFO, APPNAME, PPMS MultiVu Application, 1.5.11
INFO, , Sample1 Name
INFO, 1, Sample1 Cross Section
INFO, 1, Sample1 Length
INFO, Ohm, Sample1 Units
INFO, , Sample2 Name
INFO, 1, Sample2 Cross Section
INFO, 1, Sample2 Length
INFO, Ohm, Sample2 Units
INFO, , Sample3 Name
INFO, 1, Sample3 Cross Section
INFO, 1, Sample3 Length
INFO, Ohm, Sample3 Units
INFO, , Sample4 Name
INFO, 1, Sample4 Cross Section
INFO, 1, Sample4 Length
INFO, Ohm, Sample4 Units
FIELDGROUP, Resistivity,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
STARTUPGROUP, Resistivity
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 11, LINEAR, AUTO
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON, MARKERS_AND_LINES, ALL_LINES
DATATYPE, TIME, 2
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (sec),Status (code),Temperature (K),Magnetic Field (Oe),Sample Position (deg),Bridge 1 Resistivity (Ohm),Bridge 1 Excitation (uA),Bridge 2 Resistivity (Ohm),Bridge 2 Excitation (uA),Bridge 3 Resistivity (Ohm),Bridge 3 Excitation (uA),Bridge 4 Resistivity (Ohm),Bridge 4 Excitation (uA),Bridge 1 Std. Dev. (Ohm),Bridge 2 Std. Dev. (Ohm),Bridge 3 Std. Dev. (Ohm),Bridge 4 Std. Dev. (Ohm),Number of Readings,Bridge 1 Resistance (Ohms),Bridge 2 Resistance (Ohms),Bridge 3 Resistance (Ohms),Bridge 4 Resistance (Ohms),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,13799394.38,4370,298.077499389648,0.13400000333786,0,260.732020263672,99.9020004272461,123.268305358887,99.9020004272461,124.989606933594,99.9020004272461,,,0.00620961712426712,0.00523076200684731,0.00499396561799956,,25,260.732020263672,123.268305358887,124.989606933594,
,13799461.61,4374,294.699813842773,0.13400000333786,0,259.312563476563,99.9020004272461,122.52323638916,99.9020004272461,124.314429626465,99.9020004272461,,,0.0782779455641519,0.0423958967367581,0.0379289439564968,,25,259.312563476563,122.52323638916,124.314429626465,
,13799503.92,4374,291.289749145508,0.13400000333786,0,257.667485351563,99.9020004272461,121.636335754395,99.9020004272461,123.523826293945,99.9020004272461,,,0.153063202704797,0.0840538902314112,0.0742585597111278,,25,257.667485351563,121.636335754395,123.523826293945,
,13799525.38,4374,288.08984375,0.13400000333786,0,256.088597412109,99.9020004272461,120.793123474121,99.9020004272461,122.769098510742,99.9020004272461,,,0.220820082861784,0.117895258460173,0.104180773986257,,25,256.088597412109,120.793123474121,122.769098510742,
,13799543.91,4374,284.901351928711,0.13400000333786,0,254.365727539063,99.9020004272461,119.889867553711,99.9020004272461,121.941741027832,99.9020004272461,,,0.257363521703492,0.136271194385875,0.123442492653926,,25,254.365727539063,119.889867553711,121.941741027832,
,13799560.06,4374,281.917251586914,0.13400000333786,0,252.730357055664,99.9020004272461,118.998264160156,99.9020004272461,121.138457336426,99.9020004272461,,,0.279158731586054,0.149810201700708,0.13321399329945,,25,252.730357055664,118.998264160156,121.138457336426,
,13799574.80,4374,279.080200195313,0.13400000333786,0,251.083375854492,99.9020004272461,118.118075561523,99.9020004272461,120.342401733398,99.9020004272461,,,0.295920316452161,0.158124973188334,0.141734813966637,,25,251.083375854492,118.118075561523,120.342401733398,
,13799590.81,4374,275.962448120117,0.13400000333786,0,249.257730102539,99.9020004272461,117.13866973877,99.9020004272461,119.460870361328,99.9020004272461,,,0.306355410863393,0.162737590017367,0.147124334941348,,25,249.257730102539,117.13866973877,119.460870361328,
,13799605.28,4374,273.040802001953,0.13400000333786,0,247.537811889648,99.9020004272461,116.220283203125,99.9020004272461,118.626984863281,99.9020004272461,,,0.313746734431599,0.168267026461633,0.151433051510455,,25,247.537811889648,116.220283203125,118.626984863281,
,13799620.14,4374,270.00260925293,0.13400000333786,0,245.687014770508,99.9020004272461,115.252235107422,99.9020004272461,117.747635192871,99.9020004272461,,,0.321308693851748,0.171442278530633,0.156421713264456,,25,245.687014770508,115.252235107422,117.747635192871,
,13799634.95,4370,266.998840332031,0.13400000333786,0,243.815701293945,99.9020004272461,114.227124328613,99.9020004272461,116.81455291748,99.9020004272461,,,0.322729358426245,0.174005447049572,0.157653173178804,,25,243.815701293945,114.227124328613,116.81455291748,
,13799651.39,4370,264.417007446289,0.13400000333786,0,241.982836914062,99.9020004272461,113.242339172363,99.9020004272461,115.932430725098,99.9020004272461,,,0.270784855738256,0.145970349468811,0.132492391130264,,25,241.982836914062,113.242339172363,115.932430725098,
,13799670.77,4370,261.366806030273,0.13400000333786,0,240.001616821289,99.9020004272461,112.196997070313,99.9020004272461,114.954328613281,99.9020004272461,,,0.269330776652733,0.14362529154908,0.132381926783459,,25,240.001616821289,112.196997070313,114.954328613281,
